company,name,year,Financial_Holding_Company,TA,size,month,Brokerage_Revenue,Underwriting_Revenue,Director_Compensation,Board_Size,Major_Shareholder_ Ownership,Foreign_Ownership_Ratio
000116,日盛證券,2003,1,44213644,17.60454399,12,2886595,61704,0,,,
000616,中信證券,2003,1,9080456,16.02163497,12,228171,191347,5046,,,
000779,國票證券,2003,1,17591140,16.68290592,12,1022881,13377,0,,,
000815,台新證券,2003,1,247050,12.41734602,12,20347,0,0,,,
000884,玉山證券,2003,1,7270015,15.79926891,12,134490,2008,658,,,
000885,鑫豐證券,2003,0,202393,12.21796663,12,46791,2,0,,,
000930,華南永昌證券,2003,1,25266517,17.04499064,12,1615600,70563,0,,,
000960,富邦證券,2003,1,54672195,17.81686582,12,3136236,88112,0,,,
000980,元大證券,2003,0,30270798,17.22569404,12,1967385,80234,0,,,
0009A0,永豐金證券,2003,1,61028447,17.92685066,12,3173126,295500,30307,,,
026000,富邦期貨,2003,1,4848667,15.39421438,12,531190,0,0,,,
2854,寶來證券,2003,0,64480707,17.98187662,12,3219740,75896,32250,,,
2856,元富證券,2003,0,50966944,17.74668782,12,1766504,145264,42576,,,
31872,元大期貨,2003,0,7439844,15.82236044,12,968953,0,70,,,
5869,元富期貨,2003,0,4369063,15.29005913,12,520866,0,0,,,
6005,群益證券,2003,0,51106083,17.74941409,12,1881229,70994,26406,12,23.26,0
6008,凱基證券,2003,0,94139254,18.36028567,12,2254988,163843,700,,,
6016,康和證券,2003,0,15972776,16.58639633,12,925086,7164,8102,20,10.37,0
6024,群益期貨,2003,0,4247284,15.26179028,12,441275,0,1121,4,0.98,0
000116,日盛證券,2004,1,56572906,17.85104074,12,3408587,63492,9000,,,
000616,中信證券,2004,1,14549307,16.49305392,12,272395,97796,0,,,
000779,國票證券,2004,1,16289965,16.60605983,12,1138027,3370,0,,,
000815,台新證券,2004,1,244727,12.40789858,12,20749,0,0,,,
000884,玉山證券,2004,1,5901377,15.59069627,12,262361,22006,395,,,
000885,鑫豐證券,2004,0,213825,12.2729132,12,57008,2,0,,,
000888,國泰證券,2004,1,4480306,15.31520191,12,48658,0,0,,,
000930,華南永昌證券,2004,1,24824593,17.02734537,12,1975570,56822,0,,,
000960,富邦證券,2004,1,59230801,17.89695225,12,3606488,190391,0,,,
000980,元大證券,2004,0,41073557,17.53087509,12,2534714,32726,0,,,
0009A0,永豐金證券,2004,1,59171134,17.89594438,12,3587241,147267,30000,,,
026000,富邦期貨,2004,1,6287721,15.65410924,12,653102,0,0,,,
2854,寶來證券,2004,0,71404093,18.08386575,12,4217455,90297,38530,,,
2856,元富證券,2004,0,69280137,18.0536688,12,2743254,89013,35474,,,
31872,元大期貨,2004,0,8184070,15.91770014,12,1089962,0,70,,,
5869,元富期貨,2004,0,5658799,15.54872224,12,655417,0,0,,,
6005,群益證券,2004,0,52414072,17.77468566,12,2395579,62358,46074,14,22.64,0
6008,凱基證券,2004,0,113652917,18.54865977,12,3621700,266179,800,,,
6016,康和證券,2004,0,16979469,16.64751547,12,1111780,5638,10700,22,7.72,0
6024,群益期貨,2004,0,6851392,15.7399624,12,700409,0,2473,4,0,0
000116,日盛證券,2005,1,63365657,17.96443258,12,2726613,64125,9000,,,
000616,中信證券,2005,1,14866138,16.51459657,12,236500,52720,0,,,
000779,國票證券,2005,1,15011161,16.52430455,12,897207,1118,0,,,
000815,台新證券,2005,1,246036,12.41323315,12,14077,0,0,,,
000884,玉山證券,2005,1,6881809,15.74439211,12,210996,13429,329,,,
000885,鑫豐證券,2005,0,206693,12.23898988,12,33980,2,0,,,
000888,國泰證券,2005,1,4134416,15.23485664,12,167687,158761,0,,,
000930,華南永昌證券,2005,1,23078555,16.95441439,12,1377321,116352,0,,,
000960,富邦證券,2005,1,65579495,17.99877363,12,3354982,249955,0,,,
000980,元大證券,2005,0,30581121,17.23589342,12,1826196,51775,0,,,
0009A0,永豐金證券,2005,1,63422882,17.96533527,12,2763398,310731,30000,,,
026000,富邦期貨,2005,1,5864691,15.58446035,12,610782,0,0,,,
2854,寶來證券,2005,0,77087034,18.16044565,12,3463921,143461,14794,,,
2856,元富證券,2005,0,71836460,18.0899027,12,2140281,73719,19910,,,
31872,元大期貨,2005,0,6928501,15.75115404,12,856040,0,70,,,
5869,元富期貨,2005,0,5330367,15.48893065,12,479618,0,0,,,
6005,群益證券,2005,0,73915843,18.11843775,12,2554180,120442,15797,14,29.28,0
6008,凱基證券,2005,0,114050634,18.55215307,12,4035522,270196,0,,,
6016,康和證券,2005,0,18055827,16.70897902,12,778291,420,0,22,7.01,0
6024,群益期貨,2005,0,5988179,15.60529792,12,543739,0,1640,5,0.81,0
000116,日盛證券,2006,1,70688350,18.07379134,12,3450047,57570,9000,,,
000616,中信證券,2006,1,11101084,16.22255332,12,306479,25133,0,,,
000779,國票證券,2006,1,19268384,16.77397618,12,1154984,6191,4246,,,
000815,台新證券,2006,1,252592,12.43953082,12,17294,0,0,,,
000884,玉山證券,2006,1,6967358,15.75674666,12,305227,1062,98,,,
000885,鑫豐證券,2006,0,206534,12.23822033,12,37913,9,0,,,
000888,國泰證券,2006,1,4985547,15.42205368,12,273671,38590,0,,,
000930,華南永昌證券,2006,1,23471212,16.97128521,12,1841213,81538,0,,,
000960,富邦證券,2006,1,66399529,18.01120052,12,4031531,217682,0,,,
000980,元大證券,2006,0,26120486,17.07823047,12,2353252,15738,0,,,
0009A0,永豐金證券,2006,1,67500293,18.0276425,12,3301387,229090,24000,,,
026000,富邦期貨,2006,1,5443943,15.51001417,12,390132,0,0,,,
2854,寶來證券,2006,0,94216663,18.36110761,12,4674514,68920,48000,,,
2856,元富證券,2006,0,78384527,18.17713711,12,2705481,103421,22435,,,
31872,元大期貨,2006,0,6054493,15.6163112,12,761522,0,60,,,
5869,元富期貨,2006,0,4585259,15.33835715,12,509272,0,0,,,
6005,群益證券,2006,0,71959880,18.0916193,12,3205397,232589,41409,14,29.58,0
6008,凱基證券,2006,0,116462096,18.57307642,12,5137693,219446,53000,,,
6016,康和證券,2006,0,20702377,16.84575908,12,1093878,385,12572,22,16.13,0
6024,群益期貨,2006,0,6315697,15.65854868,12,564341,0,1858,,,
000116,日盛證券,2007,1,64839977,17.9874329,12,4646040,92032,9000,,,
000616,中信證券,2007,1,11418487,16.25074427,12,394941,35225,0,,,
000779,國票證券,2007,1,21736995,16.89452621,12,1665246,4721,9157,,,
000815,台新證券,2007,1,254890,12.44858736,12,22320,0,0,,,
000884,玉山證券,2007,1,7262037,15.79817093,12,486256,2628,1628,,,
000885,鑫豐證券,2007,0,234094,12.36347802,12,42826,51,0,,,
000888,國泰證券,2007,1,5317510,15.48651571,12,342310,23728,0,,,
000930,華南永昌證券,2007,1,26026405,17.07462216,12,2555520,44892,0,,,
000960,富邦證券,2007,1,68540015,18.04292829,12,5211066,152661,0,,,
000980,元大證券,2007,1,106149193,18.48035614,12,10073742,278383,60206,,,
0009A0,永豐金證券,2007,1,64463559,17.98161065,12,4587086,264556,24000,,,
026000,富邦期貨,2007,1,5995939,15.60659296,12,288238,0,0,,,
2854,寶來證券,2007,0,105333265,18.47263983,12,6622489,106841,100648,,,
2856,元富證券,2007,0,62098953,17.94423969,12,3438690,64332,14706,,,
31872,元大期貨,2007,1,9013359,16.01421837,12,890120,0,3314,,,
5869,元富期貨,2007,0,5609205,15.53991956,12,435477,0,0,,,
6005,群益證券,2007,0,76119948,18.14782092,12,4397921,175736,70169,17,33.57,0
6008,凱基證券,2007,0,116241542,18.57118084,12,7950371,205641,60000,,,
6016,康和證券,2007,0,22594959,16.93323739,12,1679383,436,17500,21,13.28,0
6024,群益期貨,2007,0,8854749,15.99646448,12,638570,0,2639,,,
000116,日盛證券,2008,1,45727397,17.63820817,12,3291625,49232,9000,,,
000616,中信證券,2008,1,9873526,16.10536759,12,270363,36548,0,,,
000779,國票證券,2008,1,20735543,16.84735984,12,1152672,2929,0,,,
000815,台新證券,2008,1,242001,12.39669714,12,16850,0,0,,,
000884,玉山證券,2008,1,4373594,15.29109565,12,357310,3660,0,,,
000885,鑫豐證券,2008,0,206708,12.23906245,12,31594,13,0,,,
000888,國泰證券,2008,1,5893626,15.58938199,12,334365,8140,0,,,
000930,華南永昌證券,2008,1,17846057,16.69729315,12,1706209,23286,0,,,
000960,富邦證券,2008,1,50706166,17.74155808,12,3577152,105508,0,,,
000980,元大證券,2008,1,97393401,18.39426901,12,7209440,228613,17322,,,
0009A0,永豐金證券,2008,1,52431574,17.77501953,12,3411654,142632,0,,,
026000,富邦期貨,2008,1,5504260,15.5210329,12,369280,0,0,,,
2854,寶來證券,2008,0,74130749,18.12134097,12,4532849,81104,0,,,
2856,元富證券,2008,0,50943783,17.74623329,12,2466365,124845,0,,,
31872,元大期貨,2008,1,13026842,16.38252256,12,1083524,0,0,,,
5869,元富期貨,2008,0,5051161,15.43512868,12,510214,0,0,,,
6005,群益證券,2008,0,47435284,17.6748769,12,3114413,107425,0,17,29.37,0
6008,凱基證券,2008,0,115579571,18.56546978,12,5291900,119175,4200,,,
6016,康和證券,2008,0,15628304,16.56459419,12,1325960,260,0,22,14.81,0
6024,群益期貨,2008,0,8341855,15.93679617,12,750580,0,2988,10,6.32,0
000102,合作金庫證券,2009,0,8303694,15.93221103,,,,,,,
000116,日盛證券,2009,1,42098884,17.55553179,12,4093884,54985,5500,,,
000616,中信證券,2009,1,7373293,15.81337498,12,296736,37926,0,,,
000779,國票證券,2009,1,27065938,17.11378659,12,1835736,13805,9296,,,
000815,台新證券,2009,1,1077630,13.89027474,12,18523,661,0,,,
000884,玉山證券,2009,1,5906309,15.59153166,12,556638,2625,1563,,,
000885,鑫豐證券,2009,0,285532,12.56210939,12,51701,181,0,,,
000888,國泰證券,2009,1,7600897,15.84377682,12,442149,42378,11,,,
000930,華南永昌證券,2009,1,25006647,17.03465223,12,2146562,30895,0,,,
000960,富邦證券,2009,1,53395531,17.79323761,12,4589969,182769,0,,,
000980,元大證券,2009,1,85588960,18.26506686,12,9101102,275002,0,,,
0009A0,永豐金證券,2009,1,63472934,17.96612414,12,4013613,435666,13280,,,
026000,富邦期貨,2009,1,7122237,15.77873242,12,390053,0,0,,,
2856,元富證券,2009,0,58804389,17.88972705,12,3031206,134617,42797,,,
31872,元大期貨,2009,1,12532402,16.34382801,12,1080845,0,0,,,
5869,元富期貨,2009,0,5122297,15.44911353,12,493200,0,0,,,
6005,群益證券,2009,0,56927405,17.85728742,12,3862822,148279,75995,18,30.78,0
6008,凱基證券,2009,0,150769293,18.83126137,12,6320066,131379,39990,,,
6016,康和證券,2009,0,19938688,16.80817252,12,1536024,1215,13200,23,16.92,0
6024,群益期貨,2009,0,86365769,18.27410196,12,825529,0,2743,10,8.83,0
000116,日盛證券,2010,1,44949492,17.62105002,12,3592099,73896,30581,,,
000616,中信證券,2010,1,8729884,15.98226264,12,298062,205297,0,,,
000779,國票證券,2010,1,32071198,17.28346893,12,1825574,26914,6714,,,
000815,台新證券,2010,1,2622167,14.77951163,12,22997,69747,0,,,
000884,玉山證券,2010,1,7767815,15.86549947,12,668947,2822,1693,,,
000885,鑫豐證券,2010,0,315891,12.6631525,12,62220,399,0,,,
000888,國泰證券,2010,1,8044409,15.90048787,12,463222,53176,0,,,
000930,華南永昌證券,2010,1,27686865,17.13646867,12,2082752,46522,0,,,
000960,富邦證券,2010,1,65626753,17.99949399,12,4493399,170476,0,,,
000980,元大證券,2010,1,127785814,18.66586609,12,8420252,763416,0,,,
0009A0,永豐金證券,2010,1,74605816,18.12772902,12,3787677,256283,10528,,,
026000,富邦期貨,2010,1,6320262,15.65927122,12,448880,0,0,,,
2854,寶來證券,2010,0,86037661,18.27029568,12,4830802,339915,77224,,,
2856,元富證券,2010,0,85213141,18.26066622,12,3028844,200398,44411,,,
31872,元大期貨,2010,1,14265324,16.47334226,12,1031065,0,0,,,
5869,元富期貨,2010,0,5748417,15.56443507,12,485376,0,0,,,
