sample,year,ln_total_cost_adj,ln_total_asset_adj,ln_price_capital_adj,ln_price_labour_adj,ln_total_asset_adj_square,ln_price_inter,ln_asset_capital,ln_asset_labour,efficiency
4,1,16,18,0.4319,6.7421,317,2.912,7.6953,120.1225,0.110022793
5,1,13,16,0.3403,6.4725,250,2.2029,5.3772,102.2607,0.27647688
6,1,14,16,0.3896,6.6582,257,2.5938,6.2414,106.6754,0.174656759
7,1,16,18,0.4077,6.6785,315,2.7231,7.2371,118.539,0.131266734
8,1,10,12,0.1035,6.3284,154,0.6549,1.2849,78.5821,0.079447218
10,1,12,16,0.1676,7.3329,241,1.2287,2.6017,113.8599,0.452737038
13,1,11,12,0.2798,6.7547,149,1.89,3.4187,82.5281,0.64811265
14,1,15,17,0.5241,6.5046,278,3.4088,8.7427,108.516,0.069469443
15,1,15,18,0.4321,6.6422,315,2.8703,7.6688,117.8775,0.114668652
19,1,12,15,0.1741,6.963,233,1.2123,2.6571,106.2671,0.493313936
20,1,12,15,0.1812,6.8482,237,1.2409,2.7894,105.4227,0.555740384
21,1,12,16,0.1563,7.0298,250,1.0987,2.4728,111.2285,0.370199929
22,1,12,15,0.4053,6.65,234,2.695,6.1964,101.6784,0.174337439
4,2,15,18,0.2599,6.8429,320,1.7786,4.6475,122.3577,0.496644508
5,2,13,16,0.3982,6.3899,243,2.5442,6.2014,99.5207,0.178400001
7,2,16,18,0.3952,6.778,315,2.6788,7.0187,120.3685,0.142821636
8,2,10,12,0.1155,6.262,154,0.7231,1.431,77.5981,0.108782947
10,2,12,15,0.1256,6.5431,234,0.8218,1.9215,100.1046,0.185394619
13,2,11,12,0.1931,6.7672,150,1.3067,2.3667,82.9449,0.523750664
14,2,15,17,0.4279,6.6055,275,2.8264,7.0988,109.5862,0.12562595
19,2,12,16,0.1734,7.0511,247,1.2223,2.7258,110.8716,0.498582782
20,2,12,16,0.1057,6.8722,245,0.7263,1.6528,107.4682,0.115345213
21,2,12,16,0.1888,5.9566,253,1.1244,3.0016,94.7202,0.602844973
22,2,12,16,0.3523,6.7887,241,2.3919,5.4727,105.447,0.259630547
8,3,10,12,0.117,6.2304,153,0.7292,1.4483,77.0976,0.112659952
10,3,12,15,0.2647,6.8696,231,1.8186,4.0229,104.3919,0.601453115
13,3,11,12,0.2288,6.5564,149,1.5,2.7913,79.9903,0.844528415
19,3,12,16,0.1864,6.8033,242,1.268,2.9012,105.9047,0.600317058
20,3,12,16,0.1883,7.6067,242,1.4324,2.9273,118.2512,0.647622682
21,3,12,16,0.1987,6.7817,247,1.3474,3.1217,106.5568,0.730119512
22,3,12,15,0.3263,6.3384,239,2.0683,5.0416,97.93,0.331532458
8,4,10,12,0.0699,6.2437,154,0.4364,0.8663,77.3894,0.025027132
13,4,11,12,0.2397,6.3933,149,1.5326,2.9231,77.9571,0.957173265
20,4,12,15,0.1878,6.8872,239,1.2935,2.9046,106.5119,0.621685134
22,4,12,15,0.351,6.5839,234,2.3112,5.3687,100.6913,0.266448558
8,5,10,12,0.0692,6.2011,153,0.4292,0.8572,76.8068,0.024219054
13,5,11,12,0.282,6.4476,151,1.818,3.4684,79.3112,0.641520062
20,5,12,16,0.1986,6.8798,242,1.3662,3.0869,106.9407,0.725063275
22,5,12,15,0.3847,6.6163,240,2.5454,5.9543,102.4033,0.20077309
8,6,10,12,0.0699,6.0341,151,0.4216,0.8594,74.2157,0.024442378
20,6,12,15,0.2525,6.6942,238,1.6902,3.8943,103.2502,0.687124324
21,6,13,16,0.1976,7.7144,265,1.5241,3.2174,125.6313,0.82064387
22,6,12,15,0.3552,6.9813,235,2.4798,5.4482,107.078,0.250316817
8,7,10,14,0.0395,5.684,190,0.2248,0.5458,78.4497,0.004930025
10,7,13,16,0.3327,6.7772,248,2.2545,5.2412,106.7768,0.290723123
20,7,12,16,0.2496,6.687,246,1.6692,3.9166,104.9206,0.708058679
21,7,13,16,0.1319,7.1341,264,0.9411,2.1443,115.9681,0.24312982
22,7,12,15,0.3402,6.7961,236,2.3118,5.225,104.3933,0.286836511
8,8,12,15,0.1701,6.4412,216,1.0957,2.4974,94.5664,0.427667588
10,8,13,16,0.2671,6.7038,250,1.7904,4.2204,105.936,0.553274134
20,8,12,16,0.2555,6.7778,242,1.7319,3.9762,105.4705,0.663429263
21,8,13,16,0.1545,7.0646,268,1.0917,2.5306,115.6843,0.387669783
22,8,12,15,0.3731,6.8843,239,2.5682,5.7698,106.4753,0.216185692
8,9,13,15,0.1901,6.8599,213,1.3042,2.7748,100.1227,0.628739273
15,9,15,18,0.5413,1.4854,315,0.8041,9.6088,26.3662,0.111769896
19,9,12,16,0.1727,6.9047,259,1.1921,2.7808,111.2058,0.501235813
20,9,12,16,0.2942,6.9293,249,2.0389,4.6475,109.4433,0.428129302
21,9,13,17,0.1495,7.223,280,1.0798,2.5032,120.9448,0.358969828
22,9,12,15,0.4062,6.8883,234,2.7982,6.208,105.2694,0.170681023
1,10,16,19,0.2121,7.1239,362,1.5112,4.0377,135.5993,0.810221162
